id,plate_text,confidence,source,frame_num,plate_img,timestamp
138,LOZED,0.603,video,246,video_20260523_122959_999288.jpg,2026-05-23 12:30:00
139,UNOZ FKD,0.505,video,249,video_20260523_123000_162866.jpg,2026-05-23 12:30:00
140,U0ZEKD,0.543,video,258,video_20260523_123000_573971.jpg,2026-05-23 12:30:00
141,LN0ZFKD,0.455,video,261,video_20260523_123000_762902.jpg,2026-05-23 12:30:00
142,LEAD,0.581,video,270,video_20260523_123001_051273.jpg,2026-05-23 12:30:01
143,WROZ FKD,0.564,video,273,video_20260523_123001_275657.jpg,2026-05-23 12:30:01
144,LWOZ FKD,0.424,video,276,video_20260523_123001_488949.jpg,2026-05-23 12:30:01
145,FIAZHY,0.61,video,282,video_20260523_123001_785248.jpg,2026-05-23 12:30:01
146,FZHY,0.656,video,285,video_20260523_123001_972369.jpg,2026-05-23 12:30:01
147,ESINDG,0.456,video,291,video_20260523_123002_324009.jpg,2026-05-23 12:30:02
148,FAZHY,0.454,video,291,video_20260523_123002_396197.jpg,2026-05-23 12:30:02
149,WAZHY,0.723,video,297,video_20260523_123002_724340.jpg,2026-05-23 12:30:02
150,EGINDG,0.475,video,318,video_20260523_123003_558640.jpg,2026-05-23 12:30:03
151,EYGINBG,0.489,video,330,video_20260523_123004_191542.jpg,2026-05-23 12:30:04
152,ENGINBQ,0.553,video,333,video_20260523_123004_407335.jpg,2026-05-23 12:30:04
153,EXGING,0.543,video,351,video_20260523_123005_317481.jpg,2026-05-23 12:30:05
154,EXSINBG,0.65,video,354,video_20260523_123005_536091.jpg,2026-05-23 12:30:05
155,LHHI4,0.401,video,354,video_20260523_123005_649308.jpg,2026-05-23 12:30:05
156,OBHVF,0.531,video,369,video_20260523_123006_464345.jpg,2026-05-23 12:30:06
157,M LDBHVE,0.585,video,372,video_20260523_123006_661743.jpg,2026-05-23 12:30:06
158,HWC,0.491,video,378,video_20260523_123006_929484.jpg,2026-05-23 12:30:06
159,LOEHHVF,0.473,video,381,video_20260523_123007_150224.jpg,2026-05-23 12:30:07
160,HLC,0.445,video,381,video_20260523_123007_248234.jpg,2026-05-23 12:30:07
161,HUL4C,0.411,video,387,video_20260523_123007_588680.jpg,2026-05-23 12:30:07
162,HNACN,0.403,video,390,video_20260523_123007_845037.jpg,2026-05-23 12:30:07
163,I LOP HVF,0.441,video,393,video_20260523_123008_104297.jpg,2026-05-23 12:30:08
164,LVOBHVE,0.557,video,396,video_20260523_123008_343152.jpg,2026-05-23 12:30:08
165,AVOE HVE,0.657,video,399,video_20260523_123008_593209.jpg,2026-05-23 12:30:08
166,LNACD,0.584,video,405,video_20260523_123008_938684.jpg,2026-05-23 12:30:08
167,A VO8 HWE,0.561,video,405,video_20260523_123009_066354.jpg,2026-05-23 12:30:09
168,VOGHYE,0.449,video,411,video_20260523_123009_481068.jpg,2026-05-23 12:30:09
169,POSSUS,0.696,video,417,video_20260523_123009_812800.jpg,2026-05-23 12:30:09
170,0G65U5,0.648,video,420,video_20260523_123009_962804.jpg,2026-05-23 12:30:09
171,PGGS US,0.606,video,423,video_20260523_123010_209830.jpg,2026-05-23 12:30:10
172,-BG6S USJ,0.654,video,432,video_20260523_123010_665793.jpg,2026-05-23 12:30:10
173,PG65USJ,0.702,video,435,video_20260523_123010_839002.jpg,2026-05-23 12:30:10
174,0G65US,0.58,video,438,video_20260523_123011_002780.jpg,2026-05-23 12:30:11
175,PGGS USJ,0.583,video,444,video_20260523_123011_300425.jpg,2026-05-23 12:30:11
176,BGES SJ,0.642,video,447,video_20260523_123011_531534.jpg,2026-05-23 12:30:11
177,BG6S USJ,0.639,video,450,video_20260523_123011_761828.jpg,2026-05-23 12:30:11
178,DGBSUS,0.546,video,456,video_20260523_123012_093473.jpg,2026-05-23 12:30:12
179,GS5 USJ,0.729,video,459,video_20260523_123012_322689.jpg,2026-05-23 12:30:12
180,BGE5 5J,0.749,video,462,video_20260523_123012_589457.jpg,2026-05-23 12:30:12
181,O65 SJ,0.719,video,468,video_20260523_123012_914999.jpg,2026-05-23 12:30:12
182,0GES USJ,0.735,video,471,video_20260523_123013_162570.jpg,2026-05-23 12:30:13
183,QBS U5J,0.666,video,474,video_20260523_123013_364804.jpg,2026-05-23 12:30:13
184,LKB4DAY,0.421,video,483,video_20260523_123013_836986.jpg,2026-05-23 12:30:13
185,HBD,0.54,video,498,video_20260523_123014_719476.jpg,2026-05-23 12:30:14
186,MSKQJ,0.531,video,504,video_20260523_123014_949651.jpg,2026-05-23 12:30:14
187,WSAKG,0.466,video,507,video_20260523_123015_098157.jpg,2026-05-23 12:30:15
188,EAM,0.417,video,510,video_20260523_123015_327982.jpg,2026-05-23 12:30:15
189,MBM,0.413,video,513,video_20260523_123015_630413.jpg,2026-05-23 12:30:15
190,LKB,0.588,video,516,video_20260523_123015_826727.jpg,2026-05-23 12:30:15
191,LKBA,0.615,video,519,video_20260523_123016_074263.jpg,2026-05-23 12:30:16
192,NEQ,0.666,video,522,video_20260523_123016_328989.jpg,2026-05-23 12:30:16
193,LKBJ,0.583,video,522,video_20260523_123016_406213.jpg,2026-05-23 12:30:16
194,IKEM,0.539,video,525,video_20260523_123016_678515.jpg,2026-05-23 12:30:16
195,ERVO DZL,0.446,video,528,video_20260523_123016_919698.jpg,2026-05-23 12:30:16
196,K4M,0.41,video,528,video_20260523_123016_973719.jpg,2026-05-23 12:30:16
197,KB4M,0.646,video,531,video_20260523_123017_201113.jpg,2026-05-23 12:30:17
198,ENDDZU,0.401,video,531,video_20260523_123017_281883.jpg,2026-05-23 12:30:17
199,LKBJ0M,0.69,video,534,video_20260523_123017_544437.jpg,2026-05-23 12:30:17
200,LKBJTM,0.631,video,537,video_20260523_123017_771134.jpg,2026-05-23 12:30:17
201,LKB40M,0.672,video,540,video_20260523_123018_007586.jpg,2026-05-23 12:30:18
202,LKBJM,0.559,video,543,video_20260523_123018_210618.jpg,2026-05-23 12:30:18
203,EOP,0.459,video,546,video_20260523_123018_444485.jpg,2026-05-23 12:30:18
204,4SJM,0.662,video,549,video_20260523_123018_687316.jpg,2026-05-23 12:30:18
205,FNOPZU,0.511,video,549,video_20260523_123018_754994.jpg,2026-05-23 12:30:18
206,LKK6OPM,0.636,video,552,video_20260523_123018_960967.jpg,2026-05-23 12:30:18
207,EADDZ,0.425,video,552,video_20260523_123018_992460.jpg,2026-05-23 12:30:19
208,UKKSUD,0.623,video,555,video_20260523_123019_203002.jpg,2026-05-23 12:30:19
209,ENOOA,0.46,video,555,video_20260523_123019_249027.jpg,2026-05-23 12:30:19
210,LKSAD,0.629,video,558,video_20260523_123019_472331.jpg,2026-05-23 12:30:19
211,UKB4M,0.525,video,561,video_20260523_123019_657684.jpg,2026-05-23 12:30:19
212,KKBAP,0.533,video,564,video_20260523_123019_893164.jpg,2026-05-23 12:30:19
213,ENDDZL,0.406,video,564,video_20260523_123019_982786.jpg,2026-05-23 12:30:20
214,AB4P,0.67,video,567,video_20260523_123020_185631.jpg,2026-05-23 12:30:20
215,EFOPZL,0.515,video,567,video_20260523_123020_259481.jpg,2026-05-23 12:30:20
216,AKBADL,0.673,video,570,video_20260523_123020_462605.jpg,2026-05-23 12:30:20
217,EFDDZU,0.486,video,570,video_20260523_123020_558803.jpg,2026-05-23 12:30:20
218,AKBAL,0.743,video,573,video_20260523_123020_787041.jpg,2026-05-23 12:30:20
219,EF00ZL,0.41,video,573,video_20260523_123020_860035.jpg,2026-05-23 12:30:20
220,LK64PM,0.721,video,576,video_20260523_123021_090548.jpg,2026-05-23 12:30:21
221,EFODZO,0.457,video,576,video_20260523_123021_154532.jpg,2026-05-23 12:30:21
222,AKB4M,0.52,video,579,video_20260523_123021_316468.jpg,2026-05-23 12:30:21
223,AKBAD,0.724,video,582,video_20260523_123021_482025.jpg,2026-05-23 12:30:21
